Townland,1841 Male,1841 Female,1841 Inhabited,1841 Uninhabited,1851 Male,1851 Female,1851 Inhabited,1851 Uninhabited,1861 Male,1861 Female,1861 Inhabited,1861 Uninhabited,1871 Male,1871 Female,1871 Inhabited,1871 Uninhabited,1881 Male,1881 Female,1881 Inhabited,1881 Uninhabited,1891 Male,1891 Female,1891 Inhabited,1891 Uninhabited
KILTIMON,21,23,6,,6,1,1,,3,1,1,,1,1,1,,1,1,1,,2,1,1,
KNOCKADREET,42,48,13,,29,30,11,1,39,39,10,,17,22,7,,17,19,7,,12,17,7,
KNOCKFADDA,147,151,45,1,113,100,32,,107,80,29,1,71,72,23,,53,45,18,,46,32,15,1
MEREPARK,4,2,1,,6,3,1,,,,,,4,3,1,,7,3,1,,7,3,1,
MONALIN,8,8,3,,9,6,3,,11,16,3,,8,10,3,1,13,14,5,,10,12,4,1
MONEYCARROLL,39,34,10,,8,6,3,2,7,10,4,,8,15,3,,,,,,,,,
MOUNTJOHN,3,7,1,,1,8,1,,4,6,2,,2,,1,1,5,2,2,,4,8,2,
MOUNT KENNEDY DEMESNE,27,23,9,,23,23,10,,22,29,9,,24,27,3,,18,22,7,,8,12,6,5
NEWTOWN Mt. KENNEDY,,,,,,,,,,,,,,,,,2,4,1,2,5,6,1,2
PROSPECT LOWER,7,10,2,,5,13,2,,4,4,2,,11,9,2,,8,9,2,,8,9,2,
PROSPECT UPPER,4,6,2,,5,3,2,,10,16,3,,7,8,3,1,5,7,3,,7,14,3,
SEASONPARK,16,23,5,,9,8,3,,12,11,4,,11,10,4,,10,15,5,,8,7,4,
TIMMORE,120,136,41,,104,119,36,,77,114,41,,80,88,35,2,57,65,26,,40,47,19,2
TRUDDER,30,26,8,,27,25,8,,23,26,8,,19,23,8,1,23,33,5,,29,27,7,1
,952,991,292,8,743,754,228,10,584,602,197,7,486,512,178,9,416,417,151,9,334,317,125,20
NEWTOWNMOUNTKENNEDY T,413,410,113,10,348,369,104,,282,284,108,12,216,228,92,6,178,191,77,3,172,178,81,8
DO. FEVER HOSPITAL,,,,,,,,,,2,1,,,,,,,,,,,,,
TOTAL,1365,1401,405,18,1091,1123,332,10,866,888,306,19,702,740,270,15,594,608,228,12,506,495,206,28
AGHOWLE LOWER,56,40,14,,33,33,11,,28,19,8,,15,14,6,,20,12,6,,17,17,6,
AGHOWLE UPPER,39,40,11,,29,21,9,,29,25,9,,28,16,8,,19,20,8,,22,13,8,2
ASHFORD,37,35,12,2,32,28,6,,51,53,16,1,43,35,14,,25,26,12,,22,32,12,
ASHTOWN (Arklow By),10,5,1,,4,2,1,,7,3,1,,8,4,1,,8,5,1,,10,13,2,
BALLINALEA,8,8,4,,10,6,3,,,,,,,,,,,,,,52,29,18,1
BALLINAPARK,32,32,9,,36,26,7,,28,27,7,,31,21,7,,30,28,7,,21,29,6,1
BALLYBEG,11,10,4,,15,11,4,,11,13,3,,,,,,9,9,3,,5,12,3,1
BALLYCULLEN,165,161,51,,138,100,37,1,88,85,28,,73,72,26,,74,63,23,1,63,48,21,2
BALLYLUSK,72,60,19,,47,48,20,1,61,63,20,1,60,53,19,,38,37,16,1,39,30,14,2
BALLYMACAHARA,20,21,4,,16,21,6,,50,44,16,,47,39,17,1,37,41,15,,26,27,13,
BALLYNERRIN (Newcastle By),54,62,17,,45,41,13,,34,31,11,,25,16,7,,10,10,3,,19,11,4,
BOLLARNEY MURRAGH,5,7,3,,5,4,2,,,,,,23,4,2,,13,16,4,1,10,11,3,
BOLLARNEY NORTH,6,5,2,1,5,3,1,,1,5,2,,9,8,5,1,,,,,9,5,1,
BOLLARNEY SOUTH,5,1,1,,4,3,1,2,2,4,2,,,,,,,,,,,,,
BROOMHALL,28,24,7,,22,12,6,,7,6,3,,3,5,3,,10,6,3,,10,6,4,
BURKEEN,19,12,5,,6,3,2,,8,5,2,,5,4,2,,5,5,2,,2,2,2,
CLONMANNAN,65,53,16,,46,41,13,,53,39,12,1,40,31,13,2,54,41,17,,26,20,7,10
COMMONS,275,334,124,,326,334,146,9,,,,,,,,,,,,,,,,
COOLAWINNIA,31,23,5,,14,6,3,,16,14,4,,17,16,4,,12,17,4,,7,13,3,2
CORPORATION LAND (1st Division),,,,,,,,,,,,,,,,,,,,,,,,
CORPORATION LAND 2ND DIVISION,,,,,,,,,,,,,,,,,,,,,,,,
CORPORATION MURRAGH,110,116,35,5,174,170,57,26,22,17,7,,8,7,2,,,,,,,,,
CRONROE,61,70,17,,49,45,16,,54,50,16,,35,20,13,,29,32,11,,29,39,10,
CRONYKEERY,13,7,2,,10,3,2,,17,9,2,,13,8,2,,14,7,2,,11,8,2,
FRIARSHILL,16,26,5,,23,24,9,1,,,,,1,2,2,,,,,,,,,
GLEBE (ED Wicklow Rural),19,26,9,3,17,22,7,3,1,8,2,,6,16,3,,,,,,,,,
ISLAND IN BROAD LOUGH,,,,,,,,,,,,,,,,,,,,,,,,
KILLOUGHTER,47,32,9,1,31,27,9,1,36,43,11,,41,41,12,,23,26,8,1,23,18,7,1
KNOCKROBIN,5,8,3,,9,9,2,,5,8,2,,7,5,3,,3,5,3,,3,4,2,1
KNOCKROBIN MURRAGH,,,,,,,,,,,,,,,,,,,,,,,,
MERRYMEETING,29,17,8,,12,17,5,,22,26,6,,9,6,3,,18,14,5,1,2,9,3,
MILLTOWN NORTH,6,7,2,,16,16,6,3,36,35,11,1,27,22,11,1,30,26,13,2,35,31,11,2
MILLTOWN SOUTH,51,44,12,,5,6,2,,5,2,2,,3,4,2,,8,7,2,,6,10,5,
MONDUFF,11,10,3,,10,7,3,,10,8,4,,5,10,3,1,8,10,3,1,,,,2
MOUNTUSHER,5,9,2,,3,2,2,,3,3,3,2,7,4,2,,2,1,1,,1,,1,
NEWRATH,23,29,7,,13,13,5,,30,24,8,,15,17,8,,12,10,7,,10,16,5,
ROSSANA LOWER,13,15,5,,17,9,4,1,8,19,6,,11,15,5,,17,14,6,,17,14,6,
ROSSANA UPPER,4,4,2,1,1,,1,,5,13,1,,7,12,1,,6,14,1,,4,8,1,
TINAKELLY,36,37,8,,14,14,6,1,20,21,6,,14,11,6,1,17,19,8,,23,18,8,1
TINAKELLY MURRAGH,3,6,1,,2,2,1,,,,,,,,,,3,4,1,,10,3,1,
WICKLOW,,,,,,,,,,,,,,,,,,,,,,,,
,1390,1396,439,13,1239,1129,428,49,748,722,231,6,644,547,212,9,572,531,195,8,534,487,189,28
BALLINALEA T,167,169,51,1,97,101,39,6,72,51,23,2,52,53,22,,64,45,19,1,,,,
RATHNEW T,58,60,20,,76,81,28,1,468,472,175,6,296,359,156,11,305,325,147,5,235,262,118,11
WICKLOW T PT OF (W),238,276,70,3,203,257,86,2,499,573,167,15,426,515,198,17,433,495,182,18,511,538,203,21
TOTAL,1853,1901,580,17,1615,1568,581,58,1787,1818,596,29,1462,1474,588,37,1374,1396,543,32,1280,1287,510,60
TOTAL OF BARONY,,,,,,,,,,,,,,,,,,,,,3815,3735,1518,170
BALLYMORRIS,3,4,1,1,1,6,1,1,5,3,2,,5,3,1,,5,12,2,,2,5,1,1
BALLYNAMUDDAGH,45,31,11,,42,34,12,,32,29,10,,14,10,4,,11,11,5,,21,22,10,1
BALLYWALTRIN,64,80,27,1,52,46,19,1,30,36,14,3,26,32,10,,11,17,6,3,16,23,7,3
BRAY,,,,,,,,,2,,1,,,,,,,,,,,,,
BRAY COMMONS (ED Bray No. 1),18,22,8,,15,11,5,,34,41,12,,26,27,11,,25,19,10,1,18,18,7,1
GILTSPUR,19,20,7,,14,10,5,,13,13,5,,15,11,5,,11,9,4,1,13,8,5,
IRISHTOWN,2,,1,1,47,49,,1,7,7,1,1,6,5,1,,9,7,3,,6,6,3,
KILBRIDE (Rathdown By),79,80,24,3,32,43,16,1,28,34,15,5,26,38,15,3,49,48,19,1,36,62,19,1
KILLARNEY,55,65,18,2,,,14,3,40,50,18,4,21,35,12,1,33,45,11,,40,70,21,2
KILRUDDERY DEERPARK (ED Kilmacanoge),,,,,,,,,,,,,2,1,1,,3,2,1,,2,3,1,
KILRUDDERY DEMESNE EAST,,,,,2,2,1,,3,2,1,,,,,,8,6,2,,4,5,2,
KILRUDDERY DEMESNE WEST,18,18,7,,24,26,10,,20,20,8,,18,37,5,,10,9,8,,17,27,9,
NEWCOURT,99,107,36,,40,47,16,3,35,117,19,3,,,,,,,,,,,,
OLDCOURT,110,170,52,7,28,35,9,1,37,53,15,2,16,27,7,1,37,34,15,9,55,47,22,3
SPRINGFIELD,7,7,2,,10,11,3,1,3,6,2,,5,7,2,,3,5,2,,6,2,2,
,519,604,194,15,307,320,111,12,289,411,123,18,184,233,78,5,205,243,88,15,236,298,109,12
BRAY T PART OF (X),1025,1178,382,37,988,1134,386,61,1280,1456,478,86,,,,,,,,,,,,
DO. FEVER HOSPITAL,,,,,2,2,1,,,,,,,,,,,,,,,,,
NEWTOWN VEVAY T,,,,,76,96,36,6,110,122,45,3,,,,,,,,,,,,
BRAY TOWNSHIP PT OF (H),,,,,,,,,,,,,1654,2452,761,115,1766,2621,777,165,1833,2699,819,144
TOTAL,1544,1782,576,52,1373,1552,534,79,1679,1989,646,107,1838,2725,839,120,1971,2864,865,180,2069,2997,928,156
BALLINTESKIN,30,44,9,,14,18,4,,7,6,2,,6,2,2,,10,6,3,,4,2,1,1
BALLYREMON COMMONS,27,26,7,,46,42,14,,35,40,14,,35,31,13,,31,24,11,,21,19,11,1
CALARY LOWER,44,38,9,,36,23,8,,34,25,9,,36,20,5,,30,22,8,,29,22,9,
CALARY UPPER,70,55,14,,53,48,13,2,37,33,11,2,32,28,11,,37,21,12,1,32,21,11,2
POWERSCOURT PADDOCK,50,39,13,1,32,36,11,,26,23,9,1,22,15,9,,16,8,8,,12,14,6,1
TOTAL,221,202,52,1,181,167,50,2,139,127,45,3,134,96,44,,124,81,42,1,98,78,38,5
BALLYDONAGH,24,25,7,,21,26,8,1,32,18,6,1,13,10,5,2,8,9,5,1,5,5,3,
BELLEVUE DEMESNE,51,51,12,1,37,39,12,1,40,34,13,2,33,32,14,2,34,35,16,,21,28,16,1
BELMONT DEMESNE,6,4,2,,12,3,2,,14,4,2,,12,6,2,,7,5,3,,3,46,3,
COOLAGAD,57,58,14,,44,47,12,,34,31,10,,25,26,9,,28,28,13,,33,35,13,
COOLNASKEAGH,20,11,3,,12,11,3,,8,5,2,,4,3,2,,8,3,2,,4,5,2,
DELGANY,68,66,21,1,59,78,25,1,45,61,20,1,64,75,36,3,73,83,37,6,85,101,38,4
KILLINCARRIG,140,124,45,4,109,85,34,,52,51,13,2,35,37,13,,20,24,11,1,19,24,10,4
KILRUDDERY DEERPARK (ED Delgany),,,,,,,,,,,,,4,2,1,,,,,,,,,
KINDLESTOWN LOWER,93,94,31,,97,84,31,10,39,38,12,1,84,79,35,3,72,69,28,7,80,60,27,6
KINDLESTOWN UPPER,48,43,16,2,37,43,16,2,40,47,15,2,41,51,14,2,23,44,11,4,19,47,13,2
PADDOCK,,,,,,,,,,,,,,,,,,,,,,,,
RATHDOWN LOWER,178,217,41,6,175,148,39,1,80,73,20,,52,54,15,,63,60,18,1,56,53,19,1
RATHDOWN UPPER,58,56,19,,114,94,28,2,70,76,26,1,22,20,9,1,39,35,14,2,31,29,13,3
TEMPLECARRIG LOWER,74,80,23,3,78,74,25,,82,90,28,,52,52,16,,56,45,17,1,45,37,17,1
TEMPLECARRIG UPPER,25,32,10,,24,31,9,,12,9,3,,22,20,6,,9,11,3,,17,16,5,
WINDGATE,82,103,23,,16,26,8,1,71,49,14,1,93,74,24,,55,43,16,,42,33,16,
,924,964,267,17,835,789,252,19,619,586,184,11,556,541,201,13,495,494,194,23,460,519,194,22
DELGANY T,96,105,32,2,111,103,29,1,100,148,39,6,100,164,43,2,76,111,40,10,69,123,37,9
KILLINCARRIG T,81,98,30,1,50,53,19,1,52,67,23,,,,,,,,,,,,,
GREYSTONES T,,,,,42,51,13,7,126,112,37,18,195,160,56,25,199,206,70,50,249,267,90,67
GRUNDY'S ROW T,,,,,,,,,73,66,22,,,,,,,,,,,,,
TOTAL,1101,1167,329,20,1038,996,313,28,970,979,305,35,851,865,300,40,770,811,304,83,778,909,321,98
BALLINTESKIN,66,54,19,,7,8,3,,3,4,2,,4,8,2,,13,14,6,,3,2,1,1
BALLYBAWN LOWER,37,35,9,1,34,28,8,,20,22,6,,12,14,3,,21,18,4,,16,14,4,
BALLYBAWN UPPER,17,14,5,,3,4,2,,2,4,2,,5,10,4,,,2,1,,,,,1
BALLYORNEY,6,18,4,,10,20,5,,28,32,13,,18,31,12,,11,20,8,1,13,29,9,
BARCHUILLIA COMMONS,66,73,24,,35,28,12,,15,23,8,,31,34,14,,18,12,7,2,14,14,8,
CARRIGOONA COMMONS EAST,15,18,5,,42,55,19,2,50,52,21,1,18,24,14,1,5,11,4,,26,29,13,1
CARRIGOONA COMMONS WEST,,,,,29,39,14,1,19,17,7,,12,10,4,,,,,,21,18,8,
CHARLEVILLE DEMESNE,48,58,14,1,41,46,11,,19,31,5,,25,23,5,,19,27,5,,11,17,3,
COOLAKAY,103,92,26,,59,53,19,1,36,34,12,1,23,18,10,,20,23,11,,24,19,10,
FASSAROE,71,91,26,1,102,111,33,4,63,84,26,2,71,79,27,2,71,76,27,1,64,87,26,2
GLEBE (ED Powerscourt),4,10,2,,5,9,2,,5,7,1,1,2,4,2,,2,1,1,,2,5,2,
GLENCAP COMMONS NORTH,22,30,6,,70,71,24,4,74,70,26,3,42,36,14,1,28,20,10,1,23,28,11,1
GLENCAP COMMONS SOUTH,19,25,8,,25,26,10,,22,25,9,1,25,17,8,2,9,15,5,,11,18,5,
GLENCAP COMMONS UPPER,13,9,4,,22,23,8,2,29,26,11,,16,19,8,2,24,19,9,,13,12,5,1
GLENCORMICK NORTH,78,78,26,,10,10,4,1,10,9,3,,14,11,5,,5,4,3,,15,10,5,
GLENCORMICK SOUTH,60,61,21,,16,9,5,1,16,21,9,,18,19,10,,40,44,18,3,29,33,11,4
HOLLYBROOK,9,9,4,,8,14,5,,18,16,5,,16,26,5,,16,20,5,1,15,18,7,
KILCRONEY,68,62,18,1,35,29,13,3,18,25,9,,15,20,7,3,23,24,3,,13,7,8,2
KILLOUGH LOWER,53,56,16,,26,23,9,1,13,14,4,,18,21,8,,12,14,6,1,7,14,5,2
KILLOUGH UPPER,58,46,20,,45,34,14,1,18,16,6,,17,16,5,,16,14,6,,14,17,6,
KILMACANOGE NORTH,50,41,17,,5,4,1,,5,2,1,,2,1,1,,47,45,16,1,19,21,6,2
KILMACANOGE SOUTH,86,80,25,1,35,43,11,,44,46,13,,67,54,19,2,59,50,18,2,58,59,19,
KILMURRY NORTH,65,65,20,2,46,31,9,1,43,32,10,2,27,22,9,1,26,25,10,,23,27,10,
KILMURRY SOUTH,80,69,22,1,114,83,29,3,84,66,25,,56,62,24,,70,68,24,2,47,52,20,4
LONGHILL COMMONS,17,25,8,2,23,28,8,,11,15,4,,9,10,4,1,1,2,1,,11,8,4,1
NEWTOWN (ED Powerscourt),13,11,3,,6,6,2,,19,18,7,2,20,17,7,1,15,14,6,1,26,23,9,1
STILEBAWN,26,29,10,,25,17,8,,13,7,4,,26,19,8,1,32,22,11,,6,13,4,
TINNEHINCH,3,4,2,,,,,,,,,,2,3,1,,,,,,,,,
WINGFIELD,6,14,2,,4,6,3,1,16,15,5,,16,20,6,,14,17,7,,13,22,6,
TOTAL,1159,1177,366,10,882,858,291,26,711,735,254,13,627,648,246,17,615,621,238,16,537,616,225,23
ANNACRIVEY,160,142,45,3,88,79,28,1,81,58,22,,46,28,11,,34,23,10,,26,26,10,1
AURORA,81,45,20,,72,41,15,,296,40,14,,399,42,16,,340,38,15,,313,24,12,1
BAHANA,49,32,8,1,38,25,8,,34,34,8,,33,37,8,1,25,23,7,,23,16,6,
BALLINAGEE,40,51,16,3,32,39,13,1,35,31,12,1,31,26,11,1,27,34,11,,23,19,8,1
BALLYBREW,69,50,15,,58,39,14,,36,21,8,,31,24,8,1,24,31,7,,31,19,7,
BALLYCOYLE,34,48,10,,18,20,5,,9,16,4,,12,12,4,,12,13,4,,11,7,4,
BALLYLERANE,14,8,3,,13,7,3,,10,13,3,,7,14,3,,6,12,3,,6,5,3,
BALLYREAGH,39,34,11,,38,35,10,,18,16,6,,17,18,6,,19,20,6,,13,11,4,
BALLYROSS,54,42,14,,54,44,15,,39,34,9,,35,36,9,,23,19,6,,23,16,6,
BARNAMIRE,52,39,7,,44,30,7,,23,17,6,,26,22,6,,29,27,7,,30,20,6,1
CLOON,97,88,20,1,55,56,15,,34,20,10,,29,21,8,,27,15,7,,25,19,6,
COOKSTOWN,55,67,16,2,52,55,19,3,38,52,19,2,44,56,16,4,41,75,22,,54,64,21,2
CRONE,7,10,1,,10,14,2,,10,13,4,,10,13,3,,6,8,2,,2,2,1,1
CURTLESTOWN LOWER,14,5,2,1,9,6,2,,16,13,6,,15,12,5,,6,7,3,,5,5,3,
CURTLESTOWN UPPER,6,13,5,,8,12,5,1,2,2,1,,4,1,1,,1,1,1,,3,3,1,
DEERPARK (ED Powerscourt),19,25,5,,19,21,5,1,8,13,3,1,12,18,4,,15,17,4,,10,15,5,
ENNISKERRY,,,,,12,6,2,,,,,,,,,,,,,,,,,
GLASKENNY,22,15,5,,19,14,5,,12,9,4,1,12,10,4,,5,4,3,,3,4,3,
KILGARRAN,7,14,4,,3,9,2,1,,,,,,,,,,,,,,,,
KILLEGAR,77,89,28,2,93,109,34,,111,106,32,1,78,66,23,2,69,49,22,,67,64,20,1
KILMALIN,105,110,35,1,79,70,23,,75,61,29,,99,98,32,,91,97,29,,67,58,26,3
KNOCKBAWN,7,3,1,,5,1,1,,5,6,1,,3,5,1,,3,4,1,,4,1,1,
KNOCKSINK,,,,,6,12,3,2,11,13,3,,3,4,2,1,6,10,5,,7,10,5,2
LACKANDARRAGH LOWER,23,14,4,1,7,6,2,,8,6,2,,6,7,2,,14,7,2,,9,6,2,
LACKANDARRAGH UPPER,35,19,6,,15,11,4,,13,8,4,,11,12,4,,11,14,4,,13,9,4,
MONASTERY,66,75,22,,64,51,21,5,34,35,11,2,40,49,16,,26,31,11,,32,40,17,
OLDBOLEYS,50,50,15,,63,55,16,,48,42,13,,28,30,9,,32,24,10,,35,27,9,
ONAGH,18,15,3,,8,5,2,,10,5,2,,8,4,2,,9,6,2,,9,8,2,
PARKNASILLOGE,9,11,3,,12,5,2,1,8,9,3,,6,9,4,2,12,9,4,,17,13,4,
POWERSCOURT DEMESNE,52,51,15,,24,19,9,3,24,28,11,,35,30,11,1,37,38,12,,38,40,9,
POWERSCOURT MOUNTAIN,11,12,3,,14,16,5,1,7,5,5,,17,14,4,1,8,4,2,,13,6,3,1
TINNEHINCH,4,9,4,,11,13,5,,6,8,4,,5,10,4,,5,5,4,,9,7,8,
TONYGARROW,91,69,22,,61,44,17,1,64,45,14,,47,32,12,,45,34,12,,37,35,12,
,1367,1255,368,15,1104,969,319,21,1125,779,273,8,1149,768,248,14,1021,689,228,,958,597,226,14
ENNISKERRY T,211,237,66,2,181,199,57,10,178,196,68,4,191,190,64,4,160,164,69,4,126,130,47,7
DO. FEVER HOSPITAL,,,,,,,,,5,2,1,,,,,,,,,,,,,
TOTAL,1578,1492,434,17,1285,1168,376,31,1308,977,342,12,1340,958,312,18,1181,853,297,4,1084,727,273,21
TOTAL OF BARONY,,,,,,,,,,,,,,,,,,,,,4566,5327,1785,303
AGHOWLE LOWER,123,133,47,1,90,100,35,1,66,63,24,,67,56,22,,57,49,22,,54,41,20,1
AGHOWLE UPPER,68,98,23,1,43,55,18,1,26,36,14,,39,33,14,,31,31,13,,32,33,12,
BALLARD,31,44,9,1,4,9,1,1,,,,,5,2,1,,4,4,1,,3,3,1,
BARNACASHEL,14,13,5,,4,6,3,,3,1,1,,2,2,1,,2,4,1,,1,2,1,
BOLEY,131,129,41,,79,56,21,2,74,38,18,,30,38,17,,49,40,17,,44,43,15,1
COOLKENNA,200,191,60,3,131,127,43,2,119,115,43,3,121,110,43,,114,113,40,3,101,86,38,2
CRONE,24,28,9,,17,19,6,,18,16,4,,14,7,3,,8,5,3,1,5,6,2,
KILLABEG,104,116,33,3,82,88,26,2,46,52,18,1,41,46,17,,44,42,16,1,35,39,16,
KILLINURE,317,301,91,1,191,167,59,4,135,139,48,1,116,129,43,1,119,105,39,,106,108,35,2
LUMCLOON,61,71,22,,20,26,11,1,15,22,11,,19,22,8,,24,20,6,,22,17,6,
MINMORE,3,7,1,,,,,,,,,,4,2,1,,,,,,,,,
MONEY LOWER,53,65,17,1,50,37,10,2,33,33,10,,35,38,10,,,32,9,1,24,28,8,2
MONEY UPPER,111,92,31,1,84,69,26,4,61,51,19,1,74,65,22,,61,63,23,,60,44,17,2
MUNGACULLIN,68,82,25,,58,67,20,,48,48,17,1,49,36,18,,35,26,11,,27,23,10,
QUIGGINROE,31,35,14,,29,32,13,,10,11,4,,12,10,4,,,,,,11,9,3,
RAHEENAKIT,10,10,4,,9,4,2,,5,5,2,,10,7,2,,,,,,7,6,3,
,,,,,,,,,,,,,669,601,222,1,,,,,532,488,187,10
KILQUIGGIN TOWN,,,,,,,,,,,,,33,26,13,,,,,,32,24,11,
TOTAL,1349,1415,432,12,891,862,294,20,662,627,233,7,702,627,235,1,,,,,564,512,198,10
ARDOYNE,148,159,48,2,120,128,39,2,115,107,37,2,90,84,31,,,,,,75,69,31,2
KNOCKLOE,42,50,14,,28,31,10,1,33,32,11,,24,27,11,,,,,,25,23,9,
RATH,2,3,1,,2,1,1,,5,2,1,,2,2,1,,,,,,5,3,2,
TULLOWCLAY,41,49,14,,40,44,11,,34,29,10,,24,26,10,,,,,,17,15,8,1
TOTAL,233,261,77,2,190,204,61,3,187,170,59,2,140,139,53,,,,,,122,110,50,3
BALLARD,35,29,13,1,21,16,6,1,10,10,5,,,,,,,,,,90,128,7,
BALLINGATE HILL,92,88,26,,99,78,31,,47,54,17,,46,60,19,,,,,,48,33,15,1
BALLINGATE LOWER,51,47,15,,42,41,14,,35,30,12,,40,28,11,,,,,,30,21,10,
BALLINGATE UPPER,68,50,17,,22,28,7,,32,34,14,,26,25,11,,,,,,29,35,11,
BALLYKELLY,84,94,23,,63,63,17,1,30,24,8,,16,23,7,,,,,,13,18,5,
BALLYKNOCKER,13,12,4,,16,12,5,,24,15,8,,21,22,6,1,,,,,10,9,3,
CARNEW,211,245,68,,102,104,38,1,63,75,22,1,54,48,19,,,,,,37,42,14,1
COOLATTIN,165,155,47,,111,86,29,,81,81,24,,81,66,24,,,,,,56,57,21,
COOLATTIN PARK,12,17,3,,32,39,6,2,14,13,6,,16,10,7,,,,,,16,11,4,
COOLBOY,155,145,45,,95,97,32,2,71,53,23,3,77,64,25,,,,,,72,61,25,
CRONYHORN LOWER,66,54,16,,52,44,17,,57,48,15,,49,43,14,,,,,,40,36,12,
CRONYHORN UPPER,130,130,40,,90,73,24,,83,70,21,,58,55,17,,,,,,61,51,20,
DEERPARK (ED Coolattin),102,96,28,1,47,44,16,3,23,25,10,2,28,24,10,,,,,,38,36,10,1
GLENNASHOUK,25,13,8,,31,19,7,,21,15,5,,14,8,3,,,,,,15,8,4,
HILLBROOK LOWER,69,76,27,,32,38,13,2,38,35,12,,36,36,11,,,,,,32,26,9,1
HILLBROOK UPPER,36,30,10,,16,18,6,2,7,9,5,,8,16,4,,,,,,8,4,3,
KENNYSTOWN,36,33,12,,13,13,5,,9,13,4,,5,9,3,,,,,,12,9,3,
KILCAVAN LOWER,35,51,13,2,50,50,17,1,37,38,17,,33,32,13,,,,,,26,26,12,
KILCAVAN UPPER,74,95,27,,27,28,8,,22,24,8,,20,20,3,,,,,,21,19,6,
MINMORE,10,9,3,,1,4,1,,1,4,1,,1,1,1,,,,,,7,1,1,
PARKMORE,48,53,18,,23,28,10,,12,18,5,,9,13,4,,,,,,10,4,3,
PARKMORE (Page),15,8,2,,7,2,1,,5,1,1,,4,2,1,,,,,,2,,1,
PAULBEG,30,32,8,,29,21,6,,9,12,3,1,9,8,3,1,,,,,20,17,4,
STOOPS,33,36,13,,9,7,3,,5,6,1,,4,3,1,,,,,,2,5,1,
TOMACORK,105,100,34,3,59,53,21,1,47,58,19,1,45,52,18,2,,,,,33,35,12,
TOMBREEN,166,166,49,,115,113,40,,89,75,30,,73,85,23,,,,,,73,60,27,1
TOMNAFINNOGE,107,106,34,1,76,63,23,1,67,63,21,,23,26,10,,,,,,23,18,8,
UMRYGAR,40,38,14,,41,29,11,1,33,34,12,,26,27,10,,,,,,28,25,9,
,2013,2008,617,8,1321,1211,414,18,973,938,327,8,822,806,288,4,,,,,852,795,260,6
CARNEW T,478,501,144,6,456,526,157,25,445,473,159,5,389,412,163,4,,,,,354,335,125,5
SHILLELAGH T,93,93,22,1,68,88,24,,73,85,26,1,177,249,43,,,,,,84,74,29,1
DO WORKHOUSE,,,,,335,491,1,,70,98,1,,,,,,,,,,,,,
TOTAL,2584,2602,783,15,2180,2316,596,43,1561,1594,513,14,1388,1467,494,8,,,,,1290,1204,414,12
BALLYCONNELL,166,160,53,4,124,120,39,3,92,94,34,2,83,78,30,,,,,,54,59,28,
GOWLE,82,70,23,1,43,42,17,,31,34,15,,30,28,13,,,,,,29,27,13,
TOTAL,248,230,76,5,167,162,56,3,123,128,49,2,113,106,43,,,,,,83,86,41,
BOLEYBAWN,12,11,2,,12,8,2,,13,9,3,,11,10,3,,,,,,3,2,1,
COOLAFANCY,185,207,64,4,110,128,43,5,78,82,33,3,55,56,25,1,,,,,50,49,23,3
COOLROE,197,208,69,5,133,129,45,,111,86,34,,78,84,31,1,,,,,81,77,32,1
GORTEEN,44,39,13,1,27,26,11,,16,16,8,,14,12,5,,28,23,8,1,21,13,7,
GREENHALL,18,18,8,,5,6,3,,4,2,1,,1,3,1,,2,1,1,,4,3,1,
MOUNTPLEASANT,26,30,9,,21,19,5,,26,25,6,,18,14,5,,8,8,4,,7,14,5,
RAHEENGLASS,27,19,6,,19,9,5,,10,6,4,,12,12,7,,6,7,4,,7,10,3,
TOTAL,509,532,171,10,327,325,114,5,258,226,89,3,189,191,77,2,175,169,72,9,173,168,72,4
KNOCKEEN,113,89,33,1,90,85,29,3,62,62,22,,71,56,22,,55,57,21,,55,55,21,1
KNOCKLOE,32,29,7,,21,17,6,,14,16,6,,17,11,6,,22,21,8,,14,10,6,
LISCOLMAN,139,137,39,,118,97,30,2,91,74,27,,68,80,26,,74,65,23,,63,51,22,
RATH EAST,49,51,11,,35,34,10,1,22,28,10,,18,19,9,,22,20,8,,15,12,7,
TOTAL,333,306,90,1,264,233,75,6,189,180,65,,174,166,63,,173,166,60,,147,128,56,1
BALISLAND,72,74,23,,36,50,17,1,37,39,12,,32,42,11,1,38,37,11,,40,28,11,1
BALLYKNOCKER EAST,2,5,1,,,,,,,,,,,,,,,,,,,,,
BALLYKNOCKER WEST,3,1,1,,4,4,2,,4,4,2,,,,,,6,8,2,,5,6,2,
BALLYNAVORTHA,24,19,8,,25,23,8,,22,25,6,,16,21,6,,8,15,4,1,10,11,5,
BARNAMUINGA,50,56,17,,23,19,9,,18,15,9,,15,18,8,,10,13,5,,4,4,2,
COOLROSS,81,78,24,,56,50,18,,41,44,15,,46,36,14,,41,37,12,,26,28,11,
DRUMMIN (ED Ballingate),58,65,19,,39,45,15,,32,31,11,,41,38,18,,35,39,12,1,36,40,12,
MINMORE,25,24,7,,25,17,5,,16,21,4,,12,14,3,,11,9,4,,12,9,4,
MOYLISHA,91,71,25,,37,43,18,,43,37,15,,40,37,14,,39,44,14,,29,33,13,
NEWRY,141,114,30,,91,75,23,2,74,59,21,2,56,49,19,,54,62,21,1,52,53,21,
